name,brand,model,battery_capacity,screen_size,touch_screen,resolution_x,resolution_y,processor,ram,internal_storage,rear_camera,front_camera,operating_system,wi_fi,bluetooth,gps,number_of_sims,3g,4g_lte,price
Swipe Elite Note,Swipe,Elite Note,3000,5.5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7500
Asus ZenFone Go 4.5 (ZB452KG),Asus,ZenFone Go 4.5 (ZB452KG),2070,4.5,Yes,480,854,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,3999
Intex Aqua 4.5 Pro,Intex,Aqua 4.5 Pro,1500,4.5,Yes,480,854,4,1000,8,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,4750
ZTE Blade A910,ZTE,Blade A910,2540,5.5,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,4999
ZTE Blade V7 Max,ZTE,Blade V7 Max,3000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,4500
LeEco Le 2 Pro,LeEco,Le 2 Pro,3000,5.5,Yes,1080,1920,10,4000,32,21,8,Android,Yes,Yes,Yes,1,Yes,Yes,5890
Nubia Z11 mini,Nubia,Z11 mini,2800,5,Yes,1080,1920,8,3000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Gionee Pioneer P5W,Gionee,Pioneer P5W,2000,5,Yes,720,1280,4,1000,16,5,2,Android,Yes,Yes,Yes,2,Yes,No,4800
Yu Yureka Note,Yu,reka Note,4000,6,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6499
Videocon Krypton V50DA,Videocon,Krypton V50DA,3000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,4006
HTC 10 Lifestyle,HTC,10 Lifestyle,3000,5.2,Yes,1440,2560,8,3000,32,12,5,Android,Yes,Yes,Yes,1,Yes,Yes,9751
Meizu m3 note,Meizu,m3 note,4100,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,No,2,Yes,Yes,5290
Reach Opulent,Reach,Opulent,2500,5,Yes,720,1280,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2690
Asus Zenfone Go 5.0 LTE,Asus,Zenfone Go 5.0 LTE,2500,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4990
Gionee Pioneer P5 mini,Gionee,Pioneer P5 mini,1850,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,4999
Samsung Galaxy A9 Pro,Samsung,Galaxy A9 Pro,5000,6,Yes,1080,1920,8,4000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,19980
Intex Cloud Gem+,Intex,Cloud Gem+,1400,4,Yes,480,800,4,512,4,2,2,Android,Yes,Yes,Yes,2,Yes,No,2199
Samsung Galaxy J7 (2016),Samsung,Galaxy J7 (2016),3300,5.5,Yes,720,1080,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,13450
Samsung Galaxy J5 (2016),Samsung,Galaxy J5 (2016),3100,5.2,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Vivo Y31L,Vivo,Y31L,2200,4.7,Yes,540,960,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,8599
Reach Cogent,Reach,Cogent,2000,4,Yes,480,800,4,1000,8,3.2,1.3,Android,Yes,Yes,No,2,Yes,No,2200
Lava V2s,Lava,V2s,2500,5,Yes,720,1280,4,2000,8,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,4500
Videocon Krypton V50FG,Videocon,Krypton V50FG,2200,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6600
Lava A52,Lava,A52,1200,4,Yes,480,800,2,512,4,2,0.3,Android,Yes,Yes,Yes,2,Yes,No,1999
Intex Cloud Force,Intex,Cloud Force,2500,5,Yes,480,854,4,1000,8,5,0.3,Android,Yes,Yes,Yes,2,Yes,No,3333
Intex Aqua 4G Strong,Intex,Aqua 4G Strong,1700,4,Yes,480,800,4,768,4,2,0.3,Android,Yes,Yes,Yes,2,Yes,Yes,6500
Lava Flair S1,Lava,Flair S1,1750,4.5,Yes,480,854,2,512,8,3.2,0.3,Android,Yes,Yes,Yes,2,Yes,No,1999
InFocus Bingo 20 (M425),InFocus,Bingo 20 (M425),2300,4.5,Yes,850,480,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4490
Panasonic T50,Panasonic,T50,1600,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,6760
Intex Aqua Twist,Intex,Aqua Twist,2200,5,Yes,480,854,4,1000,8,5,0,Android,Yes,Yes,Yes,2,Yes,No,3499
mPhone 8,mPhone,8,3050,5.5,Yes,1080,1920,8,4000,64,21,8,Android,Yes,Yes,Yes,2,Yes,Yes,6499
mPhone 7 Plus,mPhone,7 Plus,2600,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,7399
Intex Cloud Breeze,Intex,Cloud Breeze,2300,5,Yes,480,854,2,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,2999
Lyf Wind 6,Lyf,Wind 6,2250,5,Yes,480,854,4,1000,8,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,3499
Blu Life Mark,Blu,Life Mark,2300,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7999
Zopo Speed 8,Zopo,Speed 8,3600,5.5,Yes,1080,1920,10,4000,32,21,8,Android,Yes,Yes,Yes,2,Yes,Yes,9980
